date	close	fakedate	year
21-Jan-03	95.84	21-Jan-14	2003
14-Jan-03	93.24	14-Jan-14	2003
7-Jan-03	93.09	7-Jan-14	2003
31-Dec-02	88.59	31-Dec-14	2002
24-Dec-02	87.9	24-Dec-14	2002
17-Dec-02	88.11	17-Dec-14	2002
10-Dec-02	87.05	10-Dec-14	2002
3-Dec-02	82.12	3-Dec-14	2002
26-Nov-02	81.97	26-Nov-14	2002
19-Nov-02	82.53	19-Nov-14	2002
12-Nov-02	82.39	12-Nov-14	2002
5-Nov-02	82.39	5-Nov-14	2002
29-Oct-02	82.82	29-Oct-14	2002
22-Oct-02	84.81	22-Oct-14	2002
15-Oct-02	84.56	15-Oct-14	2002
8-Oct-02	84.27	8-Oct-14	2002
1-Oct-02	83.59	1-Oct-14	2002
24-Sep-02	78.6	24-Sep-14	2002
17-Sep-02	79.18	17-Sep-14	2002
10-Sep-02	80.09	10-Sep-14	2002
3-Sep-02	80.27	3-Sep-14	2002
27-Aug-02	78.97	27-Aug-14	2002
20-Aug-02	79.78	20-Aug-14	2002
13-Aug-02	79.98	13-Aug-14	2002
6-Aug-02	87.19	6-Aug-14	2002
30-Jul-02	87.76	30-Jul-14	2002
23-Jul-02	86.7	23-Jul-14	2002
16-Jul-02	83.64	16-Jul-14	2002
9-Jul-02	84.25	9-Jul-14	2002
